ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,total_equity,2023,0001558370-24-004603,2024-04-02,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2022,0001558370-24-004603,2024-04-02,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2023,0001558370-24-004603,2024-04-02,150039000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,150039000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2022,0001558370-24-004603,2024-04-02,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2021,0001558370-24-004603,2024-04-02,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,137888000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2023,0001558370-24-004603,2024-04-02,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2022,0001558370-24-004603,2024-04-02,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2021,0001558370-24-004603,2024-04-02,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,107539000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2023,0001558370-24-004603,2024-04-02,2164000000.0,NetIncomeLoss,2164000000.0,NetIncomeLoss,True
KR,net_income,2022,0001558370-24-004603,2024-04-02,2244000000.0,NetIncomeLoss,2244000000.0,NetIncomeLoss,True
KR,net_income,2021,0001558370-24-004603,2024-04-02,1655000000.0,NetIncomeLoss,1655000000.0,NetIncomeLoss,True
KR,total_equity,2020,0001558370-24-004603,2024-04-02,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9550000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2021,0001558370-24-004603,2024-04-02,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2022,0001558370-23-004767,2023-03-28,12670000000.0,AssetsCurrent,12670000000.0,AssetsCurrent,True
KR,current_assets,2021,0001558370-23-004767,2023-03-28,12174000000.0,AssetsCurrent,12174000000.0,AssetsCurrent,True
KR,current_liabilities,2022,0001558370-23-004767,2023-03-28,17238000000.0,LiabilitiesCurrent,17238000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2021,0001558370-23-004767,2023-03-28,16323000000.0,LiabilitiesCurrent,16323000000.0,LiabilitiesCurrent,True
KR,total_equity,2022,0001558370-23-004767,2023-03-28,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2021,0001558370-23-004767,2023-03-28,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2022,0001558370-23-004767,2023-03-28,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
