ticker,metric,fy,sheet_value_musd,extracted,frames_api,frame,tag,status,period_end,restated,first_value,sheet_vs_extract_ok,frames_match
KR,revenue,2024,147123,147123000000.0,147123000000.0,CY2024,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2025-02-01,False,147123000000.0,True,True
KR,revenue,2025,147642,147642000000.0,147642000000.0,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2026-01-31,False,147642000000.0,True,True
KR,cost_of_sales,2015,85496,85496000000.0,85496000000.0,CY2015,CostOfGoodsSold,ok,2016-01-30,False,85496000000.0,True,True
KR,cost_of_sales,2016,89502,89502000000.0,89502000000.0,CY2016,CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,ok,2017-01-28,False,89502000000.0,True,True
KR,cost_of_sales,2017,95811,95811000000.0,95811000000.0,CY2017,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2018-02-03,False,95811000000.0,True,True
KR,cost_of_sales,2018,95103,95103000000.0,95103000000.0,CY2018,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2019-02-02,False,95103000000.0,True,True
KR,cost_of_sales,2019,95294,95294000000.0,95294000000.0,CY2019,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2020-02-01,False,95294000000.0,True,True
KR,cost_of_sales,2020,101597,101597000000.0,101597000000.0,CY2020,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2021-01-30,False,101597000000.0,True,True
KR,cost_of_sales,2021,107539,107539000000.0,107539000000.0,CY2021,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2022-01-29,False,107539000000.0,True,True
KR,cost_of_sales,2022,116480,116480000000.0,116480000000.0,CY2022,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2023-01-28,False,116480000000.0,True,True
KR,cost_of_sales,2023,116675,116675000000.0,116675000000.0,CY2023,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2024-02-03,False,116675000000.0,True,True
KR,cost_of_sales,2024,113720,113720000000.0,113720000000.0,CY2024,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2025-02-01,False,113720000000.0,True,True
KR,cost_of_sales,2025,113240,113240000000.0,113240000000.0,CY2025,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,ok,2026-01-31,False,113240000000.0,True,True
KR,net_income,2015,2039,2039000000.0,2039000000.0,CY2015,NetIncomeLoss,ok,2016-01-30,False,2039000000.0,True,True
KR,net_income,2016,1975,1975000000.0,1975000000.0,CY2016,NetIncomeLoss,ok,2017-01-28,False,1975000000.0,True,True
KR,net_income,2017,1907,1907000000.0,1907000000.0,CY2017,NetIncomeLoss,ok,2018-02-03,False,1907000000.0,True,True
KR,net_income,2018,3110,3110000000.0,3110000000.0,CY2018,NetIncomeLoss,ok,2019-02-02,False,3110000000.0,True,True
KR,net_income,2019,1659,1659000000.0,1659000000.0,CY2019,NetIncomeLoss,ok,2020-02-01,False,1659000000.0,True,True
KR,net_income,2020,2585,2585000000.0,2585000000.0,CY2020,NetIncomeLoss,ok,2021-01-30,False,2585000000.0,True,True
KR,net_income,2021,1655,1655000000.0,,,NetIncomeLoss,ok,2022-01-29,False,1655000000.0,True,
KR,net_income,2022,2244,2244000000.0,,,NetIncomeLoss,ok,2023-01-28,False,2244000000.0,True,
KR,net_income,2023,2164,2164000000.0,,,NetIncomeLoss,ok,2024-02-03,False,2164000000.0,True,
KR,net_income,2024,2665,2665000000.0,,,NetIncomeLoss,ok,2025-02-01,False,2665000000.0,True,
KR,net_income,2025,1016,1016000000.0,,,NetIncomeLoss,ok,2026-01-31,False,1016000000.0,True,
KR,current_assets,2015,9892,9892000000.0,9892000000.0,CY2015Q4I,AssetsCurrent,ok,2016-01-30,False,9892000000.0,True,True
KR,current_assets,2016,10340,10340000000.0,10340000000.0,CY2016Q4I,AssetsCurrent,ok,2017-01-28,False,10340000000.0,True,True
KR,current_assets,2017,11117,11117000000.0,11117000000.0,CY2017Q4I,AssetsCurrent,ok,2018-02-03,False,11117000000.0,True,True
KR,current_assets,2018,10803,10803000000.0,10803000000.0,CY2018Q4I,AssetsCurrent,ok,2019-02-02,False,10803000000.0,True,True
KR,current_assets,2019,10890,10890000000.0,10890000000.0,CY2019Q4I,AssetsCurrent,ok,2020-02-01,False,10890000000.0,True,True
KR,current_assets,2020,12503,12503000000.0,12503000000.0,CY2020Q4I,AssetsCurrent,ok,2021-01-30,False,12503000000.0,True,True
KR,current_assets,2021,12174,12174000000.0,12174000000.0,CY2021Q4I,AssetsCurrent,ok,2022-01-29,False,12174000000.0,True,True
KR,current_assets,2022,12670,12670000000.0,12670000000.0,CY2022Q4I,AssetsCurrent,ok,2023-01-28,False,12670000000.0,True,True
KR,current_assets,2023,12948,12948000000.0,12948000000.0,CY2023Q4I,AssetsCurrent,ok,2024-02-03,False,12948000000.0,True,True
KR,current_assets,2024,15273,15273000000.0,15273000000.0,CY2024Q4I,AssetsCurrent,ok,2025-02-01,False,15273000000.0,True,True
KR,current_assets,2025,14505,14505000000.0,,,AssetsCurrent,ok,2026-01-31,False,14505000000.0,True,
KR,current_liabilities,2015,12971,12971000000.0,12971000000.0,CY2015Q4I,LiabilitiesCurrent,ok,2016-01-30,False,12971000000.0,True,True
KR,current_liabilities,2016,12860,12860000000.0,12860000000.0,CY2016Q4I,LiabilitiesCurrent,ok,2017-01-28,False,12860000000.0,True,True
KR,current_liabilities,2017,14197,14197000000.0,14197000000.0,CY2017Q4I,LiabilitiesCurrent,ok,2018-02-03,False,14197000000.0,True,True
KR,current_liabilities,2018,14274,14274000000.0,14274000000.0,CY2018Q4I,LiabilitiesCurrent,ok,2019-02-02,False,14274000000.0,True,True
KR,current_liabilities,2019,14243,14243000000.0,14243000000.0,CY2019Q4I,LiabilitiesCurrent,ok,2020-02-01,False,14243000000.0,True,True
KR,current_liabilities,2020,15366,15366000000.0,15366000000.0,CY2020Q4I,LiabilitiesCurrent,ok,2021-01-30,False,15366000000.0,True,True
KR,current_liabilities,2021,16323,16323000000.0,16323000000.0,CY2021Q4I,LiabilitiesCurrent,ok,2022-01-29,False,16323000000.0,True,True
KR,current_liabilities,2022,17238,17238000000.0,17238000000.0,CY2022Q4I,LiabilitiesCurrent,ok,2023-01-28,False,17238000000.0,True,True
KR,current_liabilities,2023,16058,16058000000.0,16058000000.0,CY2023Q4I,LiabilitiesCurrent,ok,2024-02-03,False,16058000000.0,True,True
